order_id,customer_id,order_date,city,warehouse,distance_km,order_value,order_items,warehouse_load,promised_delivery_days,actual_delivery_days,is_delayed,delay_days,past_delays,is_returned,delivery_cost,return_cost,month,distance_segment,load_segment,delay_probability
ORD00016,CUST0373,2024-01-02 06:00:00,Bangalore,WH_East,113,41228,14,151,3,3,0,0,0,1,276,500,2024-01,Medium,High,0.5072262053072012
ORD00017,CUST0100,2024-01-02 08:00:00,Chennai,WH_South,380,12964,9,211,5,8,1,3,2,0,1110,0,2024-01,Long,High,0.6532920162565713
ORD00018,CUST0872,2024-01-02 10:00:00,Bangalore,WH_South,83,40864,10,147,5,8,1,3,3,1,516,500,2024-01,Medium,Medium,0.60796817862572
ORD00019,CUST0664,2024-01-02 12:00:00,Mumbai,WH_South,394,7740,14,193,5,6,1,1,4,1,938,500,2024-01,Long,High,0.7794833046100045
ORD00020,CUST0131,2024-01-02 14:00:00,Mumbai,WH_South,165,5442,13,211,2,3,1,1,2,0,480,0,2024-01,Long,High,0.7208757916454269
ORD00021,CUST0662,2024-01-02 16:00:00,Kolkata,WH_North,443,20122,5,153,2,2,0,0,1,0,936,0,2024-01,Long,High,0.5929715223616503
ORD00022,CUST0309,2024-01-02 18:00:00,Pune,WH_South,23,14036,11,175,7,11,1,4,3,1,496,500,2024-01,Short,High,0.5162300747317364
ORD00023,CUST0770,2024-01-02 20:00:00,Mumbai,WH_East,131,2100,6,248,3,3,0,0,2,0,312,0,2024-01,Medium,High,0.49651964985039504
ORD00024,CUST0344,2024-01-02 22:00:00,Pune,WH_South,209,6200,10,210,5,5,0,0,1,0,468,0,2024-01,Long,High,0.4626077439230781
ORD00025,CUST0492,2024-01-03 00:00:00,Pune,WH_South,33,39339,12,117,2,4,1,2,4,0,316,0,2024-01,Short,Medium,0.6815614561455365
ORD00026,CUST0414,2024-01-03 02:00:00,Kolkata,WH_West,449,10748,8,220,5,5,0,0,5,0,948,0,2024-01,Long,High,0.35280804385703923
ORD00027,CUST0806,2024-01-03 04:00:00,Delhi,WH_East,458,45791,3,113,7,11,1,4,2,0,1366,0,2024-01,Long,Medium,0.6454398542561396
ORD00028,CUST0386,2024-01-03 06:00:00,Delhi,WH_South,211,17593,2,120,7,6,0,0,1,0,472,0,2024-01,Long,Medium,0.6940331265749312
ORD00029,CUST0192,2024-01-03 08:00:00,Hyderabad,WH_South,468,19855,3,67,3,2,0,0,3,0,986,0,2024-01,Long,Low,0.4447416699130815
ORD00030,CUST0956,2024-01-03 10:00:00,Kolkata,WH_South,284,17677,14,245,7,8,1,1,3,1,718,500,2024-01,Long,High,0.7580147271987289
ORD00031,CUST0277,2024-01-03 12:00:00,Hyderabad,WH_North,155,19983,9,162,5,6,1,1,2,0,460,0,2024-01,Long,High,0.572565299686072
ORD00032,CUST0161,2024-01-03 14:00:00,Hyderabad,WH_South,244,44315,6,174,3,3,0,0,3,0,538,0,2024-01,Long,High,0.5253136596900773
ORD00033,CUST0460,2024-01-03 16:00:00,Delhi,WH_West,270,39033,10,176,3,4,1,1,0,0,690,0,2024-01,Long,High,0.6311973649733021
ORD00034,CUST0314,2024-01-03 18:00:00,Kolkata,WH_East,186,526,12,110,2,3,1,1,4,0,522,0,2024-01,Long,Medium,0.6035234842929258
ORD00035,CUST0022,2024-01-03 20:00:00,Delhi,WH_East,109,39961,4,124,5,8,1,3,1,1,568,500,2024-01,Medium,Medium,0.6889766951221649
ORD00036,CUST0253,2024-01-03 22:00:00,Hyderabad,WH_South,429,22206,10,156,7,6,0,0,0,0,908,0,2024-01,Long,High,0.5366281465150692
ORD00037,CUST0748,2024-01-04 00:00:00,Kolkata,WH_South,437,25160,3,197,2,7,1,5,2,1,1424,500,2024-01,Long,High,0.6642452248752303
ORD00038,CUST0857,2024-01-04 02:00:00,Hyderabad,WH_South,405,39877,13,188,5,6,1,1,2,1,960,500,2024-01,Long,High,0.7227972899897539
ORD00039,CUST0561,2024-01-04 04:00:00,Chennai,WH_East,444,42582,2,223,5,5,0,0,0,0,938,0,2024-01,Long,High,0.5115958198578071
ORD00040,CUST0475,2024-01-04 06:00:00,Pune,WH_East,240,16758,14,241,3,2,0,0,3,0,530,0,2024-01,Long,High,0.722067555167588
ORD00041,CUST0059,2024-01-04 08:00:00,Kolkata,WH_North,177,38577,4,130,3,4,1,1,4,1,504,500,2024-01,Long,Medium,0.6936818743678118
ORD00042,CUST0511,2024-01-04 10:00:00,Kolkata,WH_West,162,33279,9,155,5,5,0,0,2,0,374,0,2024-01,Long,High,0.6194467801713062
ORD00043,CUST0682,2024-01-04 12:00:00,Pune,WH_North,176,24654,4,77,2,2,0,0,0,1,402,500,2024-01,Long,Low,0.5033830081935502
ORD00044,CUST0476,2024-01-04 14:00:00,Hyderabad,WH_West,498,30184,13,225,3,3,0,0,2,0,1046,0,2024-01,Long,High,0.5526079410106463
ORD00045,CUST0700,2024-01-04 16:00:00,Chennai,WH_North,462,15889,12,212,3,5,1,2,3,0,1174,0,2024-01,Long,High,0.5330539431951202
ORD00046,CUST0976,2024-01-04 18:00:00,Bangalore,WH_East,315,26824,5,57,5,6,1,1,2,1,780,500,2024-01,Long,Low,0.7000134006781141
ORD00047,CUST0783,2024-01-04 20:00:00,Pune,WH_North,407,28185,8,140,5,5,0,0,2,0,864,0,2024-01,Long,Medium,0.5636945649677937
ORD00048,CUST0190,2024-01-04 22:00:00,Delhi,WH_West,161,27695,2,199,3,4,1,1,3,1,472,500,2024-01,Long,High,0.6879727644561698
ORD00049,CUST0958,2024-01-05 00:00:00,Hyderabad,WH_South,262,22297,12,170,2,4,1,2,2,0,774,0,2024-01,Long,High,0.5694084673118617
ORD00050,CUST0687,2024-01-05 02:00:00,Pune,WH_West,168,46939,11,201,3,3,0,0,1,0,386,0,2024-01,Long,High,0.5834106031374798
ORD00051,CUST0958,2024-01-05 04:00:00,Pune,WH_South,151,6274,14,115,5,8,1,3,1,0,652,0,2024-01,Long,Medium,0.7078716445860417
ORD00052,CUST0563,2024-01-05 06:00:00,Kolkata,WH_East,395,32133,3,144,3,4,1,1,3,0,940,0,2024-01,Long,Medium,0.7127087252997558
ORD00053,CUST0876,2024-01-05 08:00:00,Delhi,WH_West,158,49831,6,113,5,9,1,4,1,1,766,500,2024-01,Long,Medium,0.728798664445767
ORD00054,CUST0567,2024-01-05 10:00:00,Delhi,WH_North,467,1296,12,114,3,3,0,0,4,0,984,0,2024-01,Long,Medium,0.5308913903532292
ORD00055,CUST0244,2024-01-05 12:00:00,Delhi,WH_West,371,40547,7,174,5,10,1,5,1,0,1292,0,2024-01,Long,High,0.6067993490407197
ORD00056,CUST0832,2024-01-05 14:00:00,Pune,WH_South,42,28889,4,63,5,6,1,1,3,0,234,0,2024-01,Short,Low,0.5595455407827966
ORD00057,CUST0505,2024-01-05 16:00:00,Bangalore,WH_East,135,7688,14,74,2,3,1,1,2,0,420,0,2024-01,Medium,Low,0.7646082036185763
ORD00058,CUST0131,2024-01-05 18:00:00,Mumbai,WH_North,362,24196,1,149,5,6,1,1,3,1,874,500,2024-01,Long,Medium,0.6911329368286672
ORD00059,CUST0485,2024-01-05 20:00:00,Hyderabad,WH_West,259,2524,7,154,3,2,0,0,1,0,568,0,2024-01,Long,High,0.5556848095356961
ORD00060,CUST0819,2024-01-05 22:00:00,Mumbai,WH_South,212,8166,12,180,5,9,1,4,1,1,874,500,2024-01,Long,High,0.5873988772828163
ORD00061,CUST0647,2024-01-06 00:00:00,Pune,WH_North,454,36485,9,182,7,8,1,1,4,1,1058,500,2024-01,Long,High,0.6759865866181923
ORD00062,CUST0021,2024-01-06 02:00:00,Mumbai,WH_East,99,7084,1,114,3,3,0,0,1,0,248,0,2024-01,Medium,Medium,0.5474124048659137
ORD00063,CUST0841,2024-01-06 04:00:00,Pune,WH_North,352,25962,14,231,2,1,0,0,1,0,754,0,2024-01,Long,High,0.5252982861054274
ORD00064,CUST0167,2024-01-06 06:00:00,Mumbai,WH_East,331,27544,1,68,3,3,0,0,3,0,712,0,2024-01,Long,Low,0.530608969857541
ORD00065,CUST0274,2024-01-06 08:00:00,Delhi,WH_North,482,5785,1,155,2,3,1,1,0,1,1114,500,2024-01,Long,High,0.6964731823519346
ORD00066,CUST0388,2024-01-06 10:00:00,Chennai,WH_West,175,7870,10,103,7,8,1,1,2,0,500,0,2024-01,Long,Medium,0.5721446735351162
ORD00067,CUST0601,2024-01-06 12:00:00,Delhi,WH_South,254,18403,7,187,2,3,1,1,1,1,658,500,2024-01,Long,High,0.5726290423675101
ORD00068,CUST0316,2024-01-06 14:00:00,Delhi,WH_West,194,32999,11,193,5,5,0,0,3,0,438,0,2024-01,Long,High,0.5396102243785467
ORD00069,CUST0014,2024-01-06 16:00:00,Kolkata,WH_West,203,32868,9,153,7,8,1,1,1,0,556,0,2024-01,Long,High,0.6549103799045226
ORD00070,CUST0242,2024-01-06 18:00:00,Kolkata,WH_East,488,23495,3,223,7,8,1,1,1,0,1126,0,2024-01,Long,High,0.7792475624675341
ORD00071,CUST0777,2024-01-06 20:00:00,Mumbai,WH_East,225,40124,8,206,2,1,0,0,3,0,500,0,2024-01,Long,High,0.569416596816516
ORD00072,CUST0346,2024-01-06 22:00:00,Pune,WH_East,28,35700,9,64,3,3,0,0,1,0,106,0,2024-01,Short,Low,0.5785516168464598
ORD00073,CUST0565,2024-01-07 00:00:00,Delhi,WH_West,248,23341,3,97,2,2,0,0,3,0,546,0,2024-01,Long,Low,0.5239304731607423
ORD00074,CUST0898,2024-01-07 02:00:00,Mumbai,WH_North,427,5366,12,188,2,6,1,4,3,0,1304,0,2024-01,Long,High,0.6762946974660095
ORD00075,CUST0340,2024-01-07 04:00:00,Kolkata,WH_North,328,14066,12,83,7,9,1,2,4,0,906,0,2024-01,Long,Low,0.6603446368416442
ORD00076,CUST0092,2024-01-07 06:00:00,Chennai,WH_West,132,38322,3,213,5,10,1,5,3,0,814,0,2024-01,Medium,High,0.7202491052630586
ORD00077,CUST0367,2024-01-07 08:00:00,Hyderabad,WH_West,97,42376,1,207,3,3,0,0,3,0,244,0,2024-01,Medium,High,0.5432882235881981
ORD00078,CUST0956,2024-01-07 10:00:00,Mumbai,WH_South,304,29052,2,148,2,5,1,3,0,0,958,0,2024-01,Long,Medium,0.598162303420062
ORD00079,CUST0455,2024-01-07 12:00:00,Chennai,WH_East,137,35049,7,68,5,6,1,1,3,0,424,0,2024-01,Medium,Low,0.6890668390184254
ORD00080,CUST0428,2024-01-07 14:00:00,Hyderabad,WH_East,59,25414,3,245,5,6,1,1,2,0,268,0,2024-01,Medium,High,0.7020067673105248
ORD00081,CUST0509,2024-01-07 16:00:00,Bangalore,WH_West,481,44330,7,119,3,3,0,0,4,0,1012,0,2024-01,Long,Medium,0.4408151586055219
ORD00082,CUST0776,2024-01-07 18:00:00,Mumbai,WH_West,162,45042,5,164,5,7,1,2,1,1,574,500,2024-01,Long,High,0.6331733653425028
ORD00083,CUST0943,2024-01-07 20:00:00,Mumbai,WH_North,33,22833,10,210,2,6,1,4,1,0,516,0,2024-01,Short,High,0.5252325450860392
ORD00084,CUST0035,2024-01-07 22:00:00,Bangalore,WH_West,414,16458,8,145,7,7,0,0,0,0,878,0,2024-01,Long,Medium,0.5982147825115266
ORD00085,CUST0206,2024-01-08 00:00:00,Bangalore,WH_North,215,21454,5,124,5,5,0,0,2,0,480,0,2024-01,Long,Medium,0.6341460008340775
ORD00086,CUST0081,2024-01-08 02:00:00,Mumbai,WH_West,158,10138,3,199,7,9,1,2,0,1,566,500,2024-01,Long,High,0.722973499843847
ORD00087,CUST0932,2024-01-08 04:00:00,Bangalore,WH_South,297,34647,9,85,3,8,1,5,2,0,1144,0,2024-01,Long,Low,0.6284546600323231
ORD00088,CUST0562,2024-01-08 06:00:00,Delhi,WH_South,479,10175,7,200,3,5,1,2,2,0,1208,0,2024-01,Long,High,0.6883104910159089
ORD00089,CUST0872,2024-01-08 08:00:00,Hyderabad,WH_North,226,24554,5,112,5,5,0,0,1,1,502,500,2024-01,Long,Medium,0.591029534116235
ORD00090,CUST0388,2024-01-08 10:00:00,Hyderabad,WH_East,119,43534,7,203,7,8,1,1,0,0,388,0,2024-01,Medium,High,0.718552984601169
ORD00091,CUST0002,2024-01-08 12:00:00,Hyderabad,WH_South,441,32161,11,237,2,2,0,0,4,0,932,0,2024-01,Long,High,0.5030729703660323
ORD00092,CUST0390,2024-01-08 14:00:00,Delhi,WH_North,162,17684,10,142,7,10,1,3,3,0,674,0,2024-01,Long,Medium,0.5760640051193147
ORD00093,CUST0566,2024-01-08 16:00:00,Pune,WH_West,263,48463,9,54,5,7,1,2,2,0,776,0,2024-01,Long,Low,0.6787059284658625
ORD00094,CUST0106,2024-01-08 18:00:00,Bangalore,WH_West,255,26322,5,231,7,8,1,1,0,0,660,0,2024-01,Long,High,0.6271743082828468
ORD00095,CUST0772,2024-01-08 20:00:00,Chennai,WH_North,126,11429,7,215,7,7,0,0,1,0,302,0,2024-01,Medium,High,0.5454488011196394
ORD00096,CUST0822,2024-01-08 22:00:00,Bangalore,WH_East,303,5767,11,239,3,7,1,4,0,0,1056,0,2024-01,Long,High,0.6719622617168349
ORD00097,CUST0477,2024-01-09 00:00:00,Mumbai,WH_North,267,36525,9,74,5,7,1,2,3,0,784,0,2024-01,Long,Low,0.7206498003988533
ORD00098,CUST0703,2024-01-09 02:00:00,Kolkata,WH_North,385,12569,1,147,7,12,1,5,2,0,1320,0,2024-01,Long,Medium,0.6591098006402616
ORD00099,CUST0402,2024-01-09 04:00:00,Hyderabad,WH_South,53,1481,4,61,5,6,1,1,0,0,256,0,2024-01,Medium,Low,0.7146008313090756
ORD00100,CUST0730,2024-01-09 06:00:00,Bangalore,WH_North,381,43936,1,199,2,5,1,3,1,0,1112,0,2024-01,Long,High,0.7092587523617617
ORD00101,CUST0556,2024-01-09 08:00:00,Chennai,WH_North,333,18972,8,186,5,8,1,3,3,0,1016,0,2024-01,Long,High,0.6175898549710882
ORD00102,CUST0162,2024-01-09 10:00:00,Mumbai,WH_West,301,19836,3,133,2,2,0,0,1,0,652,0,2024-01,Long,Medium,0.6089327154189033
ORD00103,CUST0202,2024-01-09 12:00:00,Delhi,WH_South,366,26087,2,78,5,9,1,4,2,0,1182,0,2024-01,Long,Low,0.6481360714269647
ORD00104,CUST0958,2024-01-09 14:00:00,Pune,WH_West,81,12156,14,221,5,4,0,0,1,0,212,0,2024-01,Medium,High,0.45932757055683254
ORD00105,CUST0996,2024-01-09 16:00:00,Delhi,WH_West,467,27826,4,158,7,9,1,2,2,0,1184,0,2024-01,Long,High,0.619139403725535
ORD00106,CUST0270,2024-01-09 18:00:00,Chennai,WH_East,442,19010,11,76,7,11,1,4,3,0,1334,0,2024-01,Long,Low,0.6994561665339079
ORD00107,CUST0863,2024-01-09 20:00:00,Mumbai,WH_East,131,41331,3,104,2,2,0,0,1,0,312,0,2024-01,Medium,Medium,0.6439872065814473
ORD00108,CUST0816,2024-01-09 22:00:00,Hyderabad,WH_South,201,19475,11,182,2,3,1,1,2,0,552,0,2024-01,Long,High,0.6175416669052894
ORD00109,CUST0271,2024-01-10 00:00:00,Bangalore,WH_South,225,10165,5,101,3,4,1,1,1,1,600,500,2024-01,Long,Medium,0.6503362969178526
ORD00110,CUST0456,2024-01-10 02:00:00,Mumbai,WH_East,487,27597,13,62,7,9,1,2,2,0,1224,0,2024-01,Long,Low,0.753347403867313
ORD00111,CUST0462,2024-01-10 04:00:00,Pune,WH_East,95,26241,8,91,2,5,1,3,2,0,540,0,2024-01,Medium,Low,0.7047821120579996
ORD00112,CUST0727,2024-01-10 06:00:00,Delhi,WH_East,415,6937,10,192,7,8,1,1,3,0,980,0,2024-01,Long,High,0.6417965109981172
ORD00113,CUST0252,2024-01-10 08:00:00,Pune,WH_East,12,25685,8,128,5,8,1,3,1,0,374,0,2024-01,Short,Medium,0.6441151324087173
ORD00114,CUST0702,2024-01-10 10:00:00,Pune,WH_East,36,10875,11,67,3,3,0,0,0,0,122,0,2024-01,Short,Low,0.510889954316709
ORD00115,CUST0296,2024-01-10 12:00:00,Chennai,WH_West,472,27607,7,99,7,7,0,0,2,0,994,0,2024-01,Long,Low,0.524848444305422
ORD00116,CUST0725,2024-01-10 14:00:00,Chennai,WH_South,324,30984,8,51,7,8,1,1,4,1,798,500,2024-01,Long,Low,0.6211056773404168
ORD00117,CUST0720,2024-01-10 16:00:00,Bangalore,WH_West,398,36129,13,136,7,9,1,2,2,0,1046,0,2024-01,Long,Medium,0.6309353528243324
ORD00118,CUST0749,2024-01-10 18:00:00,Chennai,WH_West,273,46110,13,156,7,7,0,0,2,0,596,0,2024-01,Long,High,0.5124262646708599
ORD00119,CUST0338,2024-01-10 20:00:00,Chennai,WH_North,195,26335,5,190,2,4,1,2,2,0,640,0,2024-01,Long,High,0.6307967244503055
ORD00120,CUST0879,2024-01-10 22:00:00,Mumbai,WH_West,353,30243,10,245,2,2,0,0,2,0,756,0,2024-01,Long,High,0.4591733127453546
ORD00121,CUST0053,2024-01-11 00:00:00,Hyderabad,WH_East,167,31417,10,96,3,5,1,2,1,1,584,500,2024-01,Long,Low,0.5745954872519818
ORD00122,CUST0792,2024-01-11 02:00:00,Bangalore,WH_East,65,39495,11,138,5,4,0,0,0,1,180,500,2024-01,Medium,Medium,0.5649779827856638
ORD00123,CUST0922,2024-01-11 04:00:00,Mumbai,WH_North,442,11924,12,227,5,7,1,2,0,0,1134,0,2024-01,Long,High,0.6660315320165074
ORD00124,CUST0217,2024-01-11 06:00:00,Hyderabad,WH_North,268,10143,11,61,3,4,1,1,2,0,686,0,2024-01,Long,Low,0.6623043843042693
ORD00125,CUST0764,2024-01-11 08:00:00,Pune,WH_North,289,10810,13,62,5,9,1,4,2,0,1028,0,2024-01,Long,Low,0.7271760081276808
ORD00126,CUST0188,2024-01-11 10:00:00,Mumbai,WH_North,99,19451,6,186,2,4,1,2,1,0,448,0,2024-01,Medium,High,0.5878679801503464
ORD00127,CUST0380,2024-01-11 12:00:00,Kolkata,WH_North,45,27068,8,108,7,9,1,2,0,1,340,500,2024-01,Short,Medium,0.6762095220147848
ORD00128,CUST0493,2024-01-11 14:00:00,Mumbai,WH_West,418,15733,13,222,5,9,1,4,1,0,1286,0,2024-01,Long,High,0.6533052880059291
ORD00129,CUST0041,2024-01-11 16:00:00,Chennai,WH_North,474,13700,1,247,7,9,1,2,2,0,1198,0,2024-01,Long,High,0.5825417371716275
ORD00130,CUST0157,2024-01-11 18:00:00,Hyderabad,WH_West,153,22048,6,92,7,7,0,0,3,0,356,0,2024-01,Long,Low,0.5553818447557797
ORD00131,CUST0015,2024-01-11 20:00:00,Bangalore,WH_South,208,11032,6,123,2,5,1,3,1,0,766,0,2024-01,Long,Medium,0.5950210482919891
ORD00132,CUST0813,2024-01-11 22:00:00,Bangalore,WH_North,271,23965,11,72,7,9,1,2,4,0,792,0,2024-01,Long,Low,0.6851415765909645
ORD00133,CUST0065,2024-01-12 00:00:00,Hyderabad,WH_North,6,21791,13,128,5,6,1,1,1,0,162,0,2024-01,Short,Medium,0.6552694296284224
ORD00134,CUST0857,2024-01-12 02:00:00,Chennai,WH_West,182,42948,5,222,2,4,1,2,3,0,614,0,2024-01,Long,High,0.6797118153135682
ORD00135,CUST0839,2024-01-12 04:00:00,Delhi,WH_South,429,31080,4,72,3,6,1,3,1,0,1208,0,2024-01,Long,Low,0.6935153288145116
ORD00136,CUST0521,2024-01-12 06:00:00,Mumbai,WH_West,198,26649,1,150,2,7,1,5,2,0,946,0,2024-01,Long,Medium,0.6105825949552133
ORD00137,CUST0344,2024-01-12 08:00:00,Chennai,WH_West,486,21846,11,211,5,9,1,4,1,1,1422,500,2024-01,Long,High,0.7044030936213825
ORD00138,CUST0129,2024-01-12 10:00:00,Kolkata,WH_North,391,11119,10,193,2,2,0,0,3,0,832,0,2024-01,Long,High,0.4860896227882235
ORD00139,CUST0648,2024-01-12 12:00:00,Pune,WH_East,340,40418,11,240,5,6,1,1,1,0,830,0,2024-01,Long,High,0.6344296025133371
ORD00140,CUST0472,2024-01-12 14:00:00,Hyderabad,WH_East,439,2266,8,158,5,5,0,0,3,0,928,0,2024-01,Long,High,0.4442389232621838
ORD00141,CUST0063,2024-01-12 16:00:00,Mumbai,WH_West,200,4049,6,228,2,2,0,0,0,0,450,0,2024-01,Long,High,0.6688129044076827
ORD00142,CUST0139,2024-01-12 18:00:00,Bangalore,WH_North,347,19193,3,160,5,8,1,3,0,1,1044,500,2024-01,Long,High,0.6011211420015673
ORD00143,CUST0499,2024-01-12 20:00:00,Pune,WH_South,253,32422,12,209,3,3,0,0,3,1,556,500,2024-01,Long,High,0.609018734023459
ORD00144,CUST0593,2024-01-12 22:00:00,Delhi,WH_East,216,42902,3,215,5,6,1,1,2,0,582,0,2024-01,Long,High,0.6624429959253574
ORD00145,CUST0392,2024-01-13 00:00:00,Kolkata,WH_South,157,35244,12,233,3,5,1,2,2,0,564,0,2024-01,Long,High,0.6605819854696583
ORD00146,CUST0675,2024-01-13 02:00:00,Bangalore,WH_East,162,48828,6,246,3,5,1,2,4,0,574,0,2024-01,Long,High,0.560602495163357
ORD00147,CUST0419,2024-01-13 04:00:00,Hyderabad,WH_North,470,12665,12,66,5,5,0,0,1,0,990,0,2024-01,Long,Low,0.48548645507255594
ORD00148,CUST0289,2024-01-13 06:00:00,Mumbai,WH_West,366,24064,7,135,7,7,0,0,3,1,782,500,2024-01,Long,Medium,0.5282027242344112
ORD00149,CUST0379,2024-01-13 08:00:00,Hyderabad,WH_South,143,35758,8,88,3,4,1,1,2,0,436,0,2024-01,Medium,Low,0.6482229991273616
ORD00150,CUST0773,2024-01-13 10:00:00,Pune,WH_South,225,25801,5,90,3,3,0,0,6,0,500,0,2024-01,Long,Low,0.6558827740644254
ORD00151,CUST0490,2024-01-13 12:00:00,Mumbai,WH_West,277,45263,10,97,2,7,1,5,2,0,1104,0,2024-01,Long,Low,0.6163288764517456
ORD00152,CUST0231,2024-01-13 14:00:00,Chennai,WH_South,158,21265,6,205,3,6,1,3,1,0,666,0,2024-01,Long,High,0.619809644138817
ORD00153,CUST0041,2024-01-13 16:00:00,Delhi,WH_East,253,45287,12,126,3,4,1,1,1,0,656,0,2024-01,Long,Medium,0.617544996334445
ORD00154,CUST0028,2024-01-13 18:00:00,Chennai,WH_West,283,7925,1,227,3,6,1,3,1,1,916,500,2024-01,Long,High,0.6494389854917246
ORD00155,CUST0135,2024-01-13 20:00:00,Chennai,WH_East,444,13357,6,50,3,3,0,0,4,0,938,0,2024-01,Long,Low,0.4241045503513307
ORD00156,CUST0201,2024-01-13 22:00:00,Hyderabad,WH_East,440,27963,9,166,7,9,1,2,2,1,1130,500,2024-01,Long,High,0.5742266828164645
ORD00157,CUST0840,2024-01-14 00:00:00,Pune,WH_North,308,22944,10,227,3,3,0,0,4,0,666,0,2024-01,Long,High,0.5421868580275945
ORD00158,CUST0780,2024-01-14 02:00:00,Delhi,WH_East,280,41957,4,68,5,7,1,2,4,0,810,0,2024-01,Long,Low,0.6098600655628013
ORD00159,CUST0930,2024-01-14 04:00:00,Mumbai,WH_North,497,37244,14,108,7,8,1,1,0,0,1144,0,2024-01,Long,Medium,0.6233318253650326
ORD00160,CUST0033,2024-01-14 06:00:00,Mumbai,WH_South,6,14705,14,245,3,3,0,0,1,0,62,0,2024-01,Short,High,0.5494186875163439
ORD00161,CUST0048,2024-01-14 08:00:00,Kolkata,WH_South,92,1204,10,156,5,5,0,0,1,0,234,0,2024-01,Medium,High,0.33278806972572206
ORD00162,CUST0503,2024-01-14 10:00:00,Bangalore,WH_North,291,5952,13,244,5,6,1,1,3,0,732,0,2024-01,Long,High,0.66940027992018
ORD00163,CUST0407,2024-01-14 12:00:00,Kolkata,WH_East,415,46117,1,218,7,9,1,2,2,0,1080,0,2024-01,Long,High,0.7776915973443046
ORD00164,CUST0574,2024-01-14 14:00:00,Kolkata,WH_West,134,39362,14,187,7,7,0,0,4,0,318,0,2024-01,Medium,High,0.4956451161077139
ORD00165,CUST0728,2024-01-14 16:00:00,Mumbai,WH_West,82,4181,11,77,5,7,1,2,1,0,414,0,2024-01,Medium,Low,0.6561572016824698
ORD00166,CUST0805,2024-01-14 18:00:00,Hyderabad,WH_North,264,21022,9,83,7,9,1,2,1,0,778,0,2024-01,Long,Low,0.6331849142034631
ORD00167,CUST0099,2024-01-14 20:00:00,Chennai,WH_South,245,18800,4,88,7,9,1,2,4,1,740,500,2024-01,Long,Low,0.6547448890252359
ORD00168,CUST0684,2024-01-14 22:00:00,Pune,WH_South,145,10066,2,175,2,4,1,2,5,0,540,0,2024-01,Medium,High,0.752999214604177
ORD00169,CUST0872,2024-01-15 00:00:00,Chennai,WH_West,232,8001,1,132,7,7,0,0,2,0,514,0,2024-01,Long,Medium,0.4690382160720274
ORD00170,CUST0726,2024-01-15 02:00:00,Chennai,WH_North,167,2345,3,155,2,3,1,1,2,0,484,0,2024-01,Long,High,0.6329408391196932
ORD00171,CUST0987,2024-01-15 04:00:00,Delhi,WH_West,240,39681,7,233,7,11,1,4,2,1,930,500,2024-01,Long,High,0.6779719805404898
